,Id,Sentence,First Topic,Second Topic,Third Topic,Fourth Topic
24,IL3_DF_020008_20160429_G00400K1T_segment_69,"You ask for help from the professions that don't have a conscience, don't you?....... The best solution is to find your own way.",Others,,,
25,IL3_DF_020007_20150405_G00400E51_segment_32,"And also, some patients might be missing the effective treatment period since they put too much trust in these useless medications from the dishonest sellers.",Others,,,
26,IL3_DF_020007_20150405_G00400E51_segment_114,The Majority of infected people got the problem because they were immoral and disbelievers except the 10% of unknowingly infected people.,Others,,,
27,IL3_DF_020007_20151018_G00400E7Q_segment_36,The probability of getting infected with Aids from medical devices is very high and people get infected quickly.,Others,,,
28,IL3_WL_031229_20140225_G0040006K_segment_51,"Should we keep challenging the firm belief advocating the notion, ""Do not let your left hand know what your right hand is doing?""",Others,,,
29,IL3_WL_031228_20140215_G0040006G_segment_55,"Should we keep challenging the firm belief advocating the notion ""do not let your left hand know what your right hand is doing?""",Others,,,
30,IL3_DF_020008_20160429_G00400GLC_segment_15,"In addition, people believed in the medical benefits of human meat, so some people ate human flesh by prescription.",Others,,,
31,IL3_DF_020008_20140215_G00400JYX_segment_3,"In 1949, 20 Cambodian youngsters were offered scholarships from the French Protectorate of Cambodia to study in Paris, France. (At that time, Cambodia was under French suzerainty.) Among them, there was one peasant's son. This youth's name was Saloth Sar, and his later name was Pol Pot. (However, at that time, even his family didn't know Pol Pot was his name. Since 1975, this name, Pol Pot, has become a shocking name in Cambodia.) After Saloth Sar came to Paris, he got in touch with Cambodian students and joined the Cambodian Student Union. During this time, after he studied Marxism and Leninism, he formed his understandings of socialism and communism. In 1950, Saloth Sar founded the Cambodian Communist Party. In 1956, he returned to his country and worked for the French underground anti-colonist movement. Following that, he gained more and more power. In 1976, by overturning the pro-American regime with his armed forces, he became prime minister. Then, the skirmishes that were occurring between the Vietnamese and Cambodians intensified into a war between them. As a result, Vietnam occupied most parts of Cambodia. The Khmer Rouge sentenced him to lifelong imprisonment in 1997. He died due to illness. In 1970, Lon Nol seized the regime from Sihanouk under the American military's support.",Others,,,
32,IL3_WL_031228_20140215_G0040006G_segment_40,"@ k; q7 A1 w, s6 s. h$ t: F Any topics that don't touch the legal boundary can exist normally. There's no choice for this. We Uyghurs are such merciful people, and we can see and feel merciful hearts that have been hiding behind that philanthropic news. H",Others,,,
33,IL3_WL_031229_20140225_G0040006K_segment_35,"Those who have correctly refuted these critics admonished them by mentioning the principle, ""Do not let your left hand know what your right hand is doing."" They also said just because we didn't see what they have done so far, we cannot criticize these people as ""betrayers who didn't help."" However, all of these people have been labeled in various ways.",Others,,,
34,IL3_WL_031228_20140215_G0040006G_segment_35,"Those who have correctly refuted these critics admonished them by mentioning the principle ""Do not let your left hand know what your right hand is doing."" They also said just because we didn't see what they have done so far, we cannot criticize these people as ""betrayers who didn't help."" However, all of these people have been labeled in various ways.",Others,,,
35,IL3_DF_031211_20150522_G0040007W_segment_45,"titles: 0, friends:0 , collections: 1744, collective diligent member contribution: 74.4%, member's information, register number: 28924, messages: 40, trophy points: 0, forum money: 0, contribution: 0, online time: 568 hours, latest online time: 04/27/2016, messages and chat",Others,,,
36,IL3_WL_031229_20140225_G0040006K_segment_34,"Because some people didn't see or hear with their own eyes or earswho have helped those brothers, without hesitation they ""pulled them out"" with their tongues and severely criticized them, even if they couldn't grab their necks.",Others,,,
37,IL3_DF_020008_20140220_G00400IAW_segment_49,"If those farmers could get into the courtyard without prohibition, we would be glad to have farmers, because the nation that has farmers does not disappear.",Others,,,
38,IL3_DF_031211_20150522_G0040007W_segment_37,"0 titles, 0 friends, 3771 collections, active member contribution 59.03%, member's information, register number: 34855, messages: 348, trophy points: 0, forum money: 0, contribution: 1126, online time: 308 hours, latest online time: 04/17/2016, messages and chat.",Others,,,
39,IL3_DF_031211_20140214_G0040007O_segment_8,"5 titles, 4 friends, 3320 collections, active member contribution 44%, member's information, register number: 16924, messages: 229, trophy points: 1, forum money: 16, contribution: 1030, online time: 179 hours, latest online time: 10 8 2015, messages and chat.",Others,,,
40,IL3_DF_031211_20140214_G0040007O_segment_11,"0 titles, 0 friends, 448 collections, regular member contribution 74%, member's information, register number: 25284, messages: 52, trophy points: 0, forum money: 0, contribution: 0, online time: 179 hours, latest online time: 10 8 2015, messages and chat.",Others,,,
41,IL3_NW_031214_20140215_G00400061_segment_37,"It is normal to have these opinions, and only wise people can realize this point, which is that each thing has two sides, like, for example, our hands. But everything has its limit, which is required to be reachable, rather than exceeding. For this earthquake in Hotan, the immediate appearance of some pictures, which were taken in the 2008 earthquake, is a provoking thing. What caused these rushed conclusions according to those vague proofs that were affected by personal emotions?",Others,,,
42,IL3_DF_020007_20150405_G00400E51_segment_125,People who solve global problems should be the people who have high academic,Others,,,
43,IL3_WL_031224_20140221_G0040005T_segment_5,"The hearts of our brothers living in the land have been crushed and a sorrow has come to their life. Our brothers in other places were broken hearted because of that and they were so sympathetic, compassionate, and caring about their brothers.",Others,,,
44,IL3_DF_031211_20150522_G0040007W_segment_40,"titles: 0, friends:0 , collections: 5392, collective member contribution: 7.84%, member's information, register number: 22142, messages: 226, trophy points: 0, forum money: 0, contribution: 0, online time: 610 hours, latest online time: 04/25/2016, messages and chat",Others,,,
45,IL3_DF_020008_20140215_G00400JYX_segment_17,Cambodians stood on the streets in lines to welcome the Vietnamese Army.,Others,,,
46,IL3_DF_020007_20151018_G00400E7Q_segment_62,"To achieve this goal, the number of newly-infected people by HIV should be reduced by 75% of the current totals, and the current number of the HIV-infected people who received antiretroviral therapy (ART) should be doubled in number by 2020, the WHO emphasized.",Others,,,
47,IL3_WL_031229_20140225_G0040006K_segment_40,"Any topics that don't touch the legal boundary can exist normally. There's no alternative to this. We Uyghurs are such merciful people, and we can see and feel merciful hearts that have been hiding behind that philanthropic news. However, there's a problem that needs to be contemplated with great regret and calmness: if you didn't keep us posted about your philanthropic actions, there's always someone who dared to criticize you publicly. Both you and I are well aware of this.",Others,,,
48,IL3_WL_031228_20140215_G0040006G_segment_34,"Because some people didn't see or hear with their own eyes or ears who helped those brothers, without hesitation they ""pulled them out"" with their tongues and severely criticized them, as if they couldn't grab their necks.",Others,,,
49,IL3_NW_031237_20160128_G004030D1_segment_8,"the treatment of Mycoplasma pneumonia is similar to the treatment of regular infections in the respiratory system caused by bacteria or virus. When people get infected with Mycoplasma pneumonia, that will take a longer period of time to heal. Patients need to follow doctors' advice while getting the treatments to avoid reinfection and spreading the illness.""",Others,,,
50,IL3_WL_031229_20140225_G0040006K_segment_18,"We've underestimated ourselves. We're dismayed since we failed to stay posted about the progress of the things. Later, we heard that in less than an hour after the earthquake occurred people from all over the regions, without flaunting their action, headed to the disaster area to help, without considering that it was a midnight on a chilly winter day. Upon learning about their prompt actions, philanthropic hands offered more and more help for the stricken area, and good wishes emerged in silence one after another, reminiscent of a relay race.",Others,,,
51,IL3_WL_031228_20140215_G0040006G_segment_18,"We've underestimated ourselves. We're dismayed since we failed to keep posted about the progress of the things. Later, we heard that in less than an hour after the earthquake occurred, people from all over the region, without flaunting their actions, headed to the disaster area to help, without considering that it was a midnight on a chilly winter day. Upon learning about their prompt actions, philanthropic hands offered more and more help for the stricken area, and good wishes in silence emerged one after another, reminiscent of a relay race.",Others,,,
52,IL3_NW_031237_20160120_G004030D0_segment_0,Many people died due to a contagious flu in Russia.,Others,,,
53,IL3_WL_031229_20140225_G0040006K_segment_50,What is the most practical solution which could satisfy both sides?,Others,,,
54,IL3_WL_031228_20140215_G0040006G_segment_54,What is the most practical solution which could satisfy both sides?,Others,,,
55,IL3_DF_020008_20160429_G00400KIF_segment_9,"If he disappeared, our hearts would be broken with our unstoppable tears.",Others,,,
56,IL3_DF_031212_20140219_G0040007R_segment_4,"Our friends that had no chance of coming directly helped in a suitable way, based on their economic capability, with various supplies and economic aid, which showed and is still showing the true power of warmth and kindness.",Others,,,
57,IL3_WL_031224_20140221_G0040005T_segment_13,We truly thank all of our charitable people named above.,Others,,,
58,IL3_WL_031229_20140225_G0040006K_segment_23,"We felt happy for those actions; we were grateful for their unselfish kindness and compassion; we were proud of them, saying ""my fellow Uyghurs."" Though we were unable to make any contributions to them, we were keep wishing to support those people who have contributed.",Others,,,
59,IL3_WL_031228_20140215_G0040006G_segment_24,"We felt happy for those actions; we were grateful for their unselfish kindness and compassion; we were proud of them, saying ""my fellow Uyghurs."" Though we were unable to make any contributions to them, we kept wishing to support those people who have contributed.",Others,,,
60,IL3_DF_020007_20160502_G0040128M_segment_8,"1979: The People's Republic of China reinstates its legal status, previously held by the Kuomintang, with the International Olympic Committee.",Others,,,
61,IL3_DF_020007_20151018_G00400E7Q_segment_17,I hope our online friends observe things in a practical way and not an emotional way.,Others,,,
62,IL3_DF_020007_20150405_G00400E51_segment_25,The naive infected people are also trusting these dishonest sellers and their promises in the name of God and buying their medicines even they have very unreasonable prices because they want to be cured with these kind of miracles.,Others,,,
63,IL3_DF_031211_20150522_G0040007W_segment_53,The people are praying for the rewards for people who have suffered these difficulties.,Others,,,
64,IL3_NW_031234_20150110_G004030CO_segment_7,"In terms of preventing H3N2 infectious flu, the worst thing was that flu vaccines were not effective.",Others,,,
65,IL3_DF_020007_20150405_G00400E51_segment_63,In a critical moment some people easily trust whatever they hear.,Others,,,
66,IL3_WL_031229_20140225_G0040006K_segment_56,"Let the merciful things stay free from the bad eyes! Let the helping hands not stop merely with those known people who need help! As a thing would be incomplete if it is exaggerated within a narrow range or if it is hardly known within a wide range, any types of meaningful behavior which has emerged for the development of the Uyghur society, like a newly born infant, or babies beginning to walk, or youths going forward with stumbling steps, needs to be materially and spiritually supported by those kindhearted philanthropists. They should not feel lonely only because they remain unknown.",Others,,,
67,IL3_DF_020007_20151018_G00400E7Q_segment_27,"Sometimes, I think they would praise this illness if it was transmitted from something better. I think sometimes.",Others,,,
68,IL3_WL_031228_20140215_G0040006G_segment_62,"Let the merciful things stay free from bad eyes! Let the helping hands not stop merely with those known people f/ ~# r2 E who need help! As a thing would be incomplete if it is exaggerated within a narrow range or if it is hardly known within a wide range, any types of meaningful behavior which has emerged for the development of the Uyghur society, like a newly born infant, or babies beginning to walk, or youths going forward with stumbling steps, needs to be materially and spiritually supported by those kindhearted philanthropists. They should not feel lonely only because they remain unknown.",Others,,,
69,IL3_NW_031214_20140215_G00400061_segment_18,"We underestimated ourselves. We felt down because we all knew about the things happening in the darkness. In less than an hour after the earthquake, we knew and heard about the people who went silently to help the affected region. Their stories were told and openly discussed among us. Following them, the unstoppable helps, the delivered charity aids, and the silent wishe started to emerge repeatedly, just like a relay race.",Others,,,
70,IL3_DF_020008_20140215_G00400JYX_segment_20,"Pol Pot, a right-winger, by leading communism into the evil route, ruined its image ahead of the people. If this right-winger Pol Pot ruled for a long time, Cambodia would turn into a primitive society.",Others,,,
71,IL3_DF_020007_20160502_G0040128W_segment_10,2003: The situation of SARS infections in mainland China until May 18 (the source of the data is the Health Department of China).,Others,,,
72,IL3_DF_020007_20140922_G00400EMN_segment_11,"I personally thank the Izdinix website and wish you success. Please, our online friends, recommend this to others.",Others,,,
73,IL3_DF_020007_20151018_G00400E7Q_segment_26,Caring about them and not misunderstanding their Aids infection... and blah blah. This doesn't cross my mind at all.,Others,,,
74,IL3_NW_031234_20150910_G004030CH_segment_6,"In the state of Rajasthan, there were 6,705 people who were infected with this flu, and 436 people died due to inefficient treatment.",Others,,,
75,IL3_DF_031212_20140219_G0040007R_segment_14,"The most important thing is your true love you gave us, rather than your money and supplies. We firmly believe that the recompense of these true loves will be received doubly and will have more support from our people.",Others,,,
76,IL3_DF_020007_20160502_G0040128M_segment_19,"Anyway, knowing others is also good thing...no other purpose. Thanks for the information, Uyghur Baligh.",Others,,,
77,IL3_DF_031212_20140308_G0040007Q_segment_8,"Other friends, don't feel disappointed ever. We will reach all of you to solve your problems after we fund the remaining money. We believe that more people have more power, and a true man should be anxious about his people.",Others,,,
78,IL3_WL_031226_20140216_G0040005V_segment_16,"1. The amount of supplied garments, foods, quilts and blankets, and other materials is truly exceeded the actual need. Because in addition to you there are still so many people from all corners who keep donating, sometimes it's difficult to find anyone who will accept donated items.",Others,,,
79,IL3_WL_031226_20140216_G0040005V_segment_23,"To our entrepreneurs: We greatly appreciate your help to us, your brothers.",Others,,,
80,IL3_NW_020005_20150520_G004007AD_segment_2,"Even more tragic was that these children's organs could be harvested live, as opposed to the children just being kidnapped and probably facing terrible fates.",Others,,,
81,IL3_WL_031229_20140225_G0040006K_segment_52,Or should we rethink the sacredness and the true meaning of this belief?,Others,,,
82,IL3_WL_031228_20140215_G0040006G_segment_56,Or should we rethink the sacredness and the true meaning of this belief?,Others,,,
83,IL3_NW_031214_20140215_G00400061_segment_35,"According to our belief that you don't let your right hand know what your left hand did, it is not right to think that they denied us because they didn't offer help when you witnessed it.",Others,,,
84,IL3_NW_031237_20160120_G004030D0_segment_2,"As learned, although doctors iddentified the contagious flu as a regular seasonal flu, a higher total number of infected people had proven its severity. In Saint Petersburg, the so called ""capital city in the north,"" 500 people were infected and brought to hospitals. Among them, 123 people were diagnosed with swine flu.",Others,,,
85,IL3_DF_031211_20150522_G0040007W_segment_56,"register number: 33065, messages: 127, trophy points: 0, forum money: 0, contribution: 5, online time: 556 hours, latest online time: 04/13/2016,",Others,,,
86,IL3_SN_000370_20160414_G0T0005FE_segment_0,"In China, a crane fell down, which caused 18 workers to be killed and 18 people injured. https://t.co/vh0kO1fyGd",Others,,,
87,IL3_DF_020007_20160105_G004000AK_segment_2,"I would rather curse your weightless verses cold like Germans and like the castle Kafka was not able to get in than praise you, oh Perhat Tursun.",Others,,,
88,IL3_NW_031238_20150409_G004030CQ_segment_4,"Also, people who had infected respiratory systems needed to wear masks.",Others,,,
89,IL3_WL_031229_20140225_G0040006K_segment_48,"In your opinion, what would be a wise decision for this couple?",Others,,,
90,IL3_WL_031228_20140215_G0040006G_segment_52,"In your opinion, what would be a wise decision be for this couple?",Others,,,
91,IL3_DF_020007_20151018_G00400E7Q_segment_25,"If the government politically intervenes in Aids prevention, makes Aids a very sensitive issue that people can not talk about or even think about, and deals with Aids infected people the way the government deals with the national security issues and the social issues, I think they could completely destroy Aids in the area, otherwise it is hard.",Others,,,
92,IL3_NW_031214_20140215_G00400061_segment_34,"People criticized them by their words, even though they couldn't grab those people, because they didn't witness or hear the help that is given to our brothers.",Others,,,
93,IL3_DF_020007_20150405_G00400E51_segment_26,"As we all know, the financial situation of Aids infected people is not good and their family economy has already been collapsed. Aids patients do not have ability to work for making money and cheating and bilking these weak people are not things that true Muslims do.",Others,,,
94,IL3_DF_020008_20160429_G00400KIF_segment_10,"Brother, you silently took them that were very loving lives.",Others,,,
95,IL3_DF_020007_20150405_G00400E51_segment_117,"People who solve global problems should be the people who have high academic degrees, are engaged with specific research for long time and are familiar with previous researchers and their work, and can at least can speak English, in my understanding.",Others,,,
96,IL3_NW_031214_20140215_G00400061_segment_49,"What else could be done when these unstoppable charities appeared, which even had reached the flaunting prospective?",Others,,,
97,IL3_WL_031229_20140225_G0040006K_segment_15,"However, soon we realized the existence of such a power!",Others,,,
98,IL3_WL_031219_20140215_G0040005M_segment_20,"If you are still weeping, these tears are not for the disaster but for the brotherhood and love that made you emotional. We are so sure that you can rebuild your homeland very soon in the favor of God Almighty, with the assistance of your brother and sisters, and with the support of the nation by your hardworking arms.",Others,,,
99,IL3_NW_020016_20150427_G004030C3_segment_5,"A thick plume and ashes were poured out due to the volcanic eruption; around 6,500 people were evacuated at that time.",Others,,,
100,IL3_SN_000370_20160228_G0T0004QR_segment_0,China and Tajikistan cooperate in fighting terrorism https://t.co/SEyb9HM1YK,Others,,,
101,IL3_DF_020007_20150405_G00400E51_segment_118,These are supplementary to add on nutritions but they do not cure illness.,Others,,,
102,IL3_WL_031226_20140216_G0040005V_segment_24,"We truly moved by this. We admire your spirit of ""take from the people, and distribute to the people."" You also suffered much.",Others,,,
103,IL3_DF_020007_20150405_G00400E51_segment_112,It is almost impossible that alchemists can easily solve some problems that many scientists have not solved so far. To believe those kind of things is nothing but excitement.,Others,,,
104,IL3_DF_031211_20150522_G0040007W_segment_57,"May Allah bless my friends. If they need me, as a construction worker, I really hope to help them as much as possible.",Others,,,
105,IL3_DF_020007_20150405_G00400E51_segment_9,"Ofcourse, Aids workers keep secrets for infected people and do not reveal their names. Also I have no way of asking that. So I just explained the English instruction for the medicine.",Others,,,
106,IL3_WL_031212_20140215_G0040006J_segment_7,"I am proud of the volunteers who rushed to the disaster area with the love of brotherhood without concern about a possible remaining quakes and danger and proud of our all rich businessmen who embraced their own people and helped them with all their power. In short, I am proud of my nation as an Uyghur. Move on, united people, and move on for strength! In the moment my heart beats for Hotan I truly realised that human beings are related and all Uyghurs are closely related. February 16, 2014, Bortala City.",Others,,,
107,IL3_DF_020007_20150405_G00400E51_segment_51,"Greedy frauds, what a low quality our people have ?",Others,,,
108,IL3_DF_031212_20140219_G0040007R_segment_5,"In less than an hour after the earthquake, the unstoppable help, the delivered charity aid and the silent wishes from all directions, both day and night, regardless of the cold winter, started to emerge repeatedly around us like a relay race.",Others,,,
109,IL3_DF_020007_20150405_G00400E51_segment_34,"Maybe Yemen also carried out some medical research on the issue and helped patients by making some antiviral medication like China did, but it is total lie that they have cured Aids.",Others,,,
110,IL3_DF_020008_20160429_G00400KIF_segment_45,"Of course, I have not published any poetry for 10 years. So, in order to let this brother write better and more touchable poetry, I wish the netizens, as like Muhbul Rahman Arkim, a preserving poet, to professionally help me.",Others,,,
111,IL3_DF_020008_20160429_G00400KIF_segment_35,"Of course, I have not published any poetry for 10 years. So, in order to let this brother write better and more touchable poetry, I wish the netizens, as like Muhbul Rahman Arkim, a preserving poet, to professionally help me.",Others,,,
112,IL3_DF_020008_20140220_G00400IAW_segment_61,"Oh intellectuals, let us, farmers, live a little bit comfortably in our short lives. We are not able to satisfy our greedy cadres. Oh intellectuals, please say some truthful words for the farmers.",Others,,,
113,IL3_NW_031234_20141130_G004030CN_segment_5,"Besides these, based on previous data from the WHO, in other countries like Nigeria, there were 20 people infected and 8 of them died. In Mali, there were 8 people infected and 6 of them died. In America, there were 4 people infected and 1 of them died.",Others,,,
114,IL3_WL_031219_20140215_G0040005M_segment_13,But brotherhood and love brought a great relief to many people.,Others,,,
115,IL3_WL_031226_20140216_G0040005V_segment_1,Hello friends! I hope that this message finds you all doing well and staying healthy. I sincerely express my heartfelt greetings on behalf of all the folks in the stricken area of Keriye.,Others,,,
116,IL3_NW_031260_20140324_G004030B9_segment_0,"In Guinea, 59 people died due to the Ebola virus.",Others,,,
117,IL3_DF_020008_20140215_G00400JYX_segment_19,A war following by the shames of international society.,Others,,,
118,IL3_DF_020008_20140225_G004001HU_segment_19,I wish your writing a good fortune.,Others,,,
119,IL3_DF_020007_20151018_G00400E7Q_segment_29,"So, it is really important to find the right doctors and avoid some unknown and uncertified doctors. That is one of the most important measures for preventing diseases.",Others,,,
120,IL3_DF_031211_20150522_G0040007W_segment_65,"I believe that the people in Qumul will overcome these difficulties. As long as there is unity, everything will be fine.",Others,,,
121,IL3_DF_020007_20150405_G00400E51_segment_111,"If we talk about the comment, the physicians you referred should not be put together with some of the ""sellers"" that I mentioned. The fraudulence of the seller and harm to others' health is clear to those who know something professionally. So, I expressed my sarcasm by asking them something they can not do.",Others,,,
122,IL3_DF_020008_20140215_G00400JYX_segment_15,I heard that Cambodians should appreciate Vietnamese.,Others,,,
123,IL3_DF_020007_20151018_G00400E7Q_segment_53,Aids would disappear if the authorities paid attention to it as much as they did stability.,Others,,,
124,IL3_DF_020007_20151018_G00400E7Q_segment_9,"Actually, what I was implying was that the current first lady, Peng Liyuan, could do something for our Aids problems in Xinjiang.",Others,,,
125,IL3_NW_031234_20150805_G004030CV_segment_8,"Up to now there have been 1,603 people diagnosed with MERS. Among them there were 471 people who died due to ineffective treatment, and 9 people are currently receiving treatments in hospitals.",Others,,,
126,IL3_WL_031211_20140214_G00400066_segment_24,"The Uyghur breads have not been delivered to them by Uyghurs and we have not been able to cook and bring Uyghur food to them. In short, we could not fulfill our responsibilities as their brothers and as Muslims.",Others,,,
127,IL3_DF_020008_20160429_G00400GLC_segment_86,Some Chinese who ate human flesh have appeared in our homeland before. There was a shoe repairer and he asked the customer to pick up his repaired shoes from his home . When the customer went to his home he became a dinner for the Chinese.,Others,,,
128,IL3_WL_031211_20140214_G00400066_segment_17,Is this is not a chance to get rewards and to be faithful by doing good things?,Others,,,
129,IL3_DF_020007_20160105_G004000AK_segment_30,"my stone like hard debts, an unknown someone did not step down on my shoulder, how my life would become miserable. I also feel myself extra like an abandoned gland and feel myself passionate like winter birds. I love the world with some kind of poor emotion... and I believe that is a betrayal for the soul writing poems in this time.",Others,,,
130,IL3_NW_031238_20150416_G004030CS_segment_4,"The Hong Kong Health Department required local residents to pay attention to their personal hygiene, get seasonal flu shots, and guarantee their personal health. Also, people who had infected respiratory systems needed to wear masks.",Others,,,
131,IL3_WL_031226_20140216_G0040005V_segment_21,"For instance, is ""Miras"" corporation's material help which would be worth 500,000 yuan easy to donate? And how about ""Intil"" corporation's 50 tons of coal (we're told that this is the initial help of ""Intil""). Without hesitation, they could spend those expenses for their own development. Don't forget, their development truly needs investment. However, they have decided to help the stricken area rather than to use these funds for their own development. This is what we call ""taken from the people, and distributed to the people."" Keep in mind that even if they don't donate a dime, the money is still theirs. We still don't have a right to say anything about them. We didn't help them when they earn their money. These days the challenge is very competitive and it's very difficult to be a pioneer. They gained their current status after overcoming numerous sufferings. We can only support them; we cannot be offended by them. My brother, Allah has created you along with me to live on the earth in unity. We are being permitted only to live in peace hand in hand and united, but we cannot do anything that would destroy this unity.",Others,,,
132,IL3_DF_020008_20160429_G00400KIF_segment_47,"The human traffickers are never harmful to social stability and the county's safety. On the contrary, they have played a significant role in putting money into the police's pockets. Even a cat would consider its later life to kill rats one by one, rather than kill them all.",Others,,,
